,game_id,season,date,away_team,away_score,home_team,home_score,result,a_eFGp,a_FTr,a_ORBp,a_TOVp,h_eFGp,h_FTr,h_ORBp,h_TOVp
5908,171803100989,1718,2018-03-10,SAS,94,OKC,104,1,0.503988603988604,0.18632478632478633,0.23925000000000002,0.10996865893220432,0.5143097643097643,0.20650953984287318,0.27855,0.1198377581120944
5909,171803100990,1718,2018-03-10,ORL,105,LAC,113,1,0.5375985445724681,0.19890842935112188,0.18735000000000004,0.13180521173869497,0.5382843983880253,0.22913068508923431,0.20945,0.12029765844409065
5910,171803110991,1718,2018-03-11,TOR,132,NYK,106,0,0.5465909090909091,0.19431818181818183,0.2158,0.10795579301763888,0.4966292134831461,0.16123595505617977,0.22975,0.12478601675826652
5911,171803110992,1718,2018-03-11,CHI,129,ATL,122,0,0.49094510469722696,0.1867572156196944,0.20020000000000004,0.12125893723278124,0.5035356511490867,0.2038892162639953,0.19400000000000003,0.1419059054688353
5912,171803110993,1718,2018-03-11,GSW,103,MIN,109,1,0.5877611940298507,0.20477611940298507,0.20270000000000005,0.14193548387096774,0.5313398504887866,0.23461759631972395,0.23009999999999997,0.10149906308557152
5913,171803110994,1718,2018-03-11,UTA,116,NOP,99,0,0.5327017114914426,0.21026894865525672,0.22015000000000004,0.13362419022796382,0.5277484143763214,0.16649048625792812,0.1838,0.11573085529799629
5914,171803110995,1718,2018-03-11,SAC,104,DEN,130,1,0.5147308781869688,0.1274787535410765,0.21689999999999998,0.11796411652803163,0.5623205054566341,0.20218265364732915,0.23525000000000001,0.12497735917406268
5915,171803110996,1718,2018-03-11,HOU,105,DAL,82,0,0.5637376237623762,0.2698019801980198,0.19745,0.1112426713519088,0.5066435586366262,0.17157712305025996,0.19639999999999996,0.11279527192050265
5916,171803110997,1718,2018-03-11,IND,99,BOS,97,0,0.5214453584018802,0.19447708578143363,0.22960000000000003,0.12594458438287154,0.5290432801822323,0.18109339407744876,0.21660000000000001,0.11127050687854043
5917,171803110998,1718,2018-03-11,PHI,120,BRK,97,0,0.5348557692307692,0.20913461538461536,0.24949999999999997,0.13448339825635316,0.516505406943654,0.18042117245304498,0.2118,0.1216556098272217
5918,171803110999,1718,2018-03-11,CLE,113,LAL,127,1,0.5498833138856476,0.19078179696616104,0.1865,0.11863217563101239,0.5406390134529148,0.19226457399103136,0.24480000000000005,0.12233469358913208
5919,171803121000,1718,2018-03-12,SAS,93,HOU,109,1,0.5065378055713473,0.17509948834565095,0.23875000000000005,0.11233997285499431,0.5636588380716934,0.26885043263288005,0.19714999999999996,0.11219540142082346
5920,171803121001,1718,2018-03-12,MIL,121,MEM,103,0,0.5212636695018227,0.23207776427703528,0.21294999999999997,0.12728502451763204,0.4832935560859189,0.1766109785202864,0.2266,0.1532979781239642
5921,171803121002,1718,2018-03-12,SAC,101,OKC,106,1,0.5107405313736574,0.13227812323346522,0.21014999999999998,0.1129026238196544,0.5117977528089888,0.20337078651685395,0.27375,0.12044591363060908
5922,171803121003,1718,2018-03-12,MIA,99,POR,115,1,0.5128278221208666,0.18244013683010263,0.24735000000000004,0.11737514728541647,0.518688901667625,0.21564117308798159,0.226,0.11439457468917491
5923,171803131004,1718,2018-03-13,IND,101,PHI,98,0,0.5258975868157739,0.19070041200706297,0.22935,0.12953367875647667,0.5369047619047619,0.20654761904761906,0.2502,0.133492911066102
5924,171803131005,1718,2018-03-13,MIN,116,WAS,111,0,0.5302338847689675,0.22304620650313747,0.225,0.10045318606315247,0.5381924198250728,0.19067055393586008,0.24985000000000004,0.13392283843035094
5925,171803131006,1718,2018-03-13,OKC,119,ATL,107,0,0.5110107284020328,0.20271033314511575,0.26474999999999993,0.12142995919953371,0.5136498516320476,0.2094955489614243,0.18885,0.1421493345034372
5926,171803131007,1718,2018-03-13,TOR,116,BRK,102,0,0.550453514739229,0.19727891156462582,0.21935,0.10530749789385004,0.5119182746878548,0.18388195232690124,0.2169,0.12247786326027
5927,171803131008,1718,2018-03-13,DAL,110,NYK,97,0,0.5002876869965477,0.17031070195627157,0.20005,0.11199301089259824,0.4910464465584779,0.16731952993844432,0.22815000000000002,0.12129598016136858
5928,171803131009,1718,2018-03-13,LAC,112,CHI,106,0,0.5412579342181189,0.22619734564339297,0.21520000000000003,0.12114576976919486,0.4913165266106443,0.18319327731092439,0.2082,0.1159999283398126
5929,171803131010,1718,2018-03-13,CHO,115,NOP,119,1,0.5211104684788895,0.21920185078079812,0.21145,0.10310417203667561,0.5275106837606838,0.1623931623931624,0.18229999999999996,0.11701613181802481
5930,171803131011,1718,2018-03-13,ORL,72,SAS,108,1,0.5375757575757575,0.2018181818181818,0.18555,0.13029438978794117,0.512292738707833,0.1761006289308176,0.23140000000000002,0.1131971286581999
5931,171803131012,1718,2018-03-13,DET,79,UTA,110,1,0.5062535531552018,0.1841955656623081,0.23585,0.11668716983862797,0.5329106280193237,0.21014492753623187,0.23049999999999998,0.13204967315364588
5932,171803131013,1718,2018-03-13,CLE,129,PHO,107,0,0.5499999999999999,0.18497109826589594,0.18655000000000002,0.11551701920067746,0.48958919527293193,0.17557681485649973,0.19785000000000005,0.12470266624063622
5933,171803131014,1718,2018-03-13,DEN,103,LAL,112,1,0.5709788208357184,0.19519175729822555,0.23060000000000003,0.12175619684524243,0.5382895472330911,0.19340413638904416,0.24490000000000003,0.124789088863892
5934,171803141015,1718,2018-03-14,MIL,117,ORL,126,1,0.524330900243309,0.2305352798053528,0.2261,0.1310272536687631,0.527190332326284,0.19456193353474321,0.17985000000000004,0.13307159440533042
5935,171803141016,1718,2018-03-14,WAS,125,BOS,124,0,0.5371127995324372,0.1952074810052601,0.25195,0.1291322314049587,0.5296803652968036,0.18378995433789957,0.21514999999999998,0.11172619266561223
5936,171803141017,1718,2018-03-14,MIA,119,SAC,123,1,0.514180374361883,0.17980714690867838,0.2484,0.11614664304566326,0.5092644581695676,0.13419427288040425,0.21720000000000003,0.11140406253481377
5937,171803141018,1718,2018-03-14,LAL,106,GSW,117,1,0.54082774049217,0.1912751677852349,0.24235000000000004,0.12703296703296701,0.5807600950118764,0.20843230403800475,0.2097,0.1388097295508448
5938,171803151019,1718,2018-03-15,TOR,106,IND,99,0,0.5568181818181818,0.2005681818181818,0.21975000000000003,0.10541561251054156,0.516044340723454,0.19078179696616104,0.23779999999999998,0.12743835112256166
5939,171803151020,1718,2018-03-15,CHO,129,ATL,117,0,0.5281933256616801,0.21231300345224394,0.209,0.10541561251054155,0.5106320141760189,0.20791494388659185,0.19645,0.13970051132213296
5940,171803151021,1718,2018-03-15,PHI,118,NYK,110,0,0.5351399642644431,0.2025014889815366,0.24274999999999997,0.1365868913375398,0.4893617021276596,0.16293393057110864,0.23360000000000003,0.12388458983428194
5941,171803151022,1718,2018-03-15,LAC,96,HOU,101,1,0.5376811594202898,0.23594202898550726,0.2119,0.11994178106806583,0.5651234567901235,0.2617283950617284,0.20634999999999998,0.11364287487823978
5942,171803151023,1718,2018-03-15,CHI,111,MEM,110,0,0.4874581939799331,0.17279821627647715,0.2134,0.10998918139199422,0.4872175980975029,0.17538644470868014,0.227,0.14960136988823627
5943,171803151024,1718,2018-03-15,NOP,93,SAS,98,1,0.5296453149814716,0.15669666490206458,0.18755,0.11524304241631979,0.5145631067961165,0.18275271273557966,0.23285000000000003,0.10957440931106241
5944,171803151025,1718,2018-03-15,DET,113,DEN,120,1,0.5002849002849002,0.18233618233618235,0.22890000000000005,0.11741558771261741,0.5630347974900171,0.1911009697661152,0.23300000000000004,0.12393030955439363
