,game_id,season,date,away_team,away_score,home_team,home_score,result,away_elo_i,away_elo_n,home_elo_i,home_elo_n,elo_pred
10189,212201190671,2122,2022-01-19,DET,133,SAC,131,0,1339.4191277287798,1346.6665774354412,1365.7363277259974,1358.488878019336,1
10190,212201190672,2122,2022-01-19,IND,111,LAL,104,0,1443.4883852607668,1456.1294918317897,1470.4520822736013,1457.8109757025784,1
10191,212201200673,2122,2022-01-20,PHO,109,DAL,101,0,1686.1377740759192,1695.9130979510926,1606.655647447651,1596.8803235724777,0
10192,212201200674,2122,2022-01-20,NOP,102,NYK,91,0,1456.3179271255226,1473.627110104233,1499.937082592577,1482.6278996138667,1
10193,212201200675,2122,2022-01-20,IND,121,GSW,117,0,1456.1294918317897,1470.0257712371426,1647.5007968713212,1633.6045174659682,1
10194,212201210676,2122,2022-01-21,OKC,98,CHO,121,1,1345.122530107577,1340.708840080585,1544.5572496149096,1548.9709396419014,1
10195,212201210677,2122,2022-01-21,LAL,116,ORL,105,0,1457.8109757025784,1466.4133308412886,1294.8009712168446,1286.1986160781344,0
10196,212201210678,2122,2022-01-21,LAC,102,PHI,101,0,1463.1422224791006,1471.0054922528395,1595.3922554438855,1587.5289856701465,1
10197,212201210679,2122,2022-01-21,MIA,108,ATL,110,1,1610.3290861661274,1604.6882861851634,1466.2350101104469,1471.8758100914108,0
10198,212201210680,2122,2022-01-21,POR,109,BOS,105,0,1437.3953817697773,1448.8790283542162,1539.018184823653,1527.534538239214,1
10199,212201210681,2122,2022-01-21,CHI,90,MIL,94,1,1529.3276715975994,1525.8632778919196,1572.2335736987127,1575.6979674043926,1
10200,212201210682,2122,2022-01-21,TOR,109,WAS,105,0,1528.453530496826,1535.9592153158903,1477.4960339490844,1469.9903491300201,0
10201,212201210683,2122,2022-01-21,BRK,117,SAS,102,0,1543.2535220200361,1558.2104132546506,1472.7541728273463,1457.797281592732,0
10202,212201210684,2122,2022-01-21,MEM,122,DEN,118,0,1591.991560796212,1599.5580013411159,1543.4784198048299,1535.911979259926,0
10203,212201210685,2122,2022-01-21,DET,101,UTA,111,1,1346.6665774354412,1344.8932161280475,1609.440861851635,1611.2142231590287,1
10204,212201210686,2122,2022-01-21,HOU,103,GSW,105,1,1338.0115902228968,1337.328710690928,1633.6045174659682,1634.287396997937,1
10205,212201220687,2122,2022-01-22,SAC,127,MIL,133,1,1358.488878019336,1356.777799775013,1575.6979674043926,1577.4090456487156,1
10206,212201220688,2122,2022-01-22,OKC,87,CLE,94,1,1340.708840080585,1339.231407380561,1598.7193341864834,1600.1967668865075,1
10207,212201220689,2122,2022-01-22,IND,103,PHO,113,1,1470.0257712371426,1467.8386026034796,1695.9130979510926,1698.1002665847557,1
10208,212201230690,2122,2022-01-23,LAC,102,NYK,110,1,1471.0054922528395,1465.2598306196871,1482.6278996138667,1488.373561247019,1
10209,212201230691,2122,2022-01-23,BOS,116,WAS,87,0,1527.534538239214,1552.3031120893934,1469.9903491300201,1445.2217752798408,0
10210,212201230692,2122,2022-01-23,LAL,107,MIA,113,1,1466.4133308412886,1463.7848176871719,1604.6882861851634,1607.3167993392801,1
10211,212201230693,2122,2022-01-23,CHI,95,ORL,114,1,1525.8632778919196,1501.2748847487826,1286.1986160781344,1310.7870092212713,0
10212,212201230694,2122,2022-01-23,POR,114,TOR,105,0,1448.8790283542162,1465.9559693776873,1535.9592153158903,1518.8822742924192,1
10213,212201230695,2122,2022-01-23,ATL,113,CHO,91,0,1471.8758100914108,1501.8589001283467,1548.9709396419014,1518.9878496049655,1
